economy,SE.ADT.1524.LT.ZS
ABW,99.5
AFG,
AGO,
ALB,99.3300018310547
AND,
ARE,
ARG,99.5055236816406
ARM,
ASM,
ATG,
AUS,
AUT,
AZE,
BDI,
BEL,
BEN,60.9480781555176
BFA,58.8739814758301
BGD,93.2964401245117
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BMU,
BOL,
BRA,99.2041702270508
BRB,
BRN,99.7089385986328
BTN,
BWA,
CAF,38.2686500549316
CAN,
CHE,
CHI,
CHL,
CHN,99.7835998535156
CIV,
CMR,85.0800018310547
COD,
COG,82.0547866821289
COL,98.8516464233398
COM,78.270393371582
CPV,
CRI,99.4300003051758
CUB,
CUW,
CYM,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,97.4265213012695
ECU,
EGY,
ERI,93.2723922729492
ESP,99.7155532836914
EST,
ETH,
FIN,
FJI,
FRA,
FRO,
FSM,
GAB,89.7836608886719
GBR,
GEO,
GHA,92.490966796875
GIB,
GIN,53.9405212402344
GMB,
GNB,
GNQ,
GRC,99.1600036621094
GRD,
GRL,
GTM,94.6041488647461
GUM,
GUY,
HKG,
HND,96.5158386230469
HRV,
HTI,
HUN,
IDN,99.7070770263672
IMN,
IND,91.6640396118164
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,99.9300003051758
JAM,
JOR,99.3437423706055
JPN,
KAZ,99.8973617553711
KEN,87.8300018310547
KGZ,99.75
KHM,
KIR,
KNA,
KOR,
KWT,99.0801315307617
LAO,
LBN,99.751823425293
LBR,
LBY,
LCA,
LIE,
LKA,98.7819366455078
LSO,
LTU,
LUX,
LVA,99.8199996948242
MAC,
MAF,
MAR,97.7300033569336
MCO,
MDA,
MDG,79.8511734008789
MDV,
MEX,99.3184509277344
MHL,
MKD,
MLI,50.1347007751465
MLT,99.3007125854492
MMR,
MNE,99.1100006103516
MNG,98.629997253418
MNP,
MOZ,
MRT,
MUS,99.0420303344727
MWI,
MYS,96.8503265380859
NAM,95.1649017333984
NCL,
NER,43.4599990844727
NGA,75.0287475585938
NIC,
NLD,
NOR,
NPL,92.3938064575195
NRU,
NZL,
OMN,98.6178283691406
PAK,71.9948425292969
PAN,99.0990905761719
PER,99.0237579345703
PHL,
PLW,
PNG,
POL,
PRI,
PRK,
PRT,99.6639175415039
PRY,98.2815170288086
PSE,99.3362503051758
PYF,
QAT,
ROU,99.4291915893555
RUS,99.6984481811523
RWA,86.4927673339844
SAU,
SDN,73.0
SEN,
SGP,99.9296264648438
SLB,
SLE,66.6485977172852
SLV,97.9737167358398
SMR,
SOM,
SRB,
SSD,47.9009590148926
STP,97.7825469970703
SUR,98.6455612182617
SVK,
SVN,
SWE,
SWZ,95.469367980957
SXM,
SYC,99.0699996948242
SYR,
TCA,
TCD,
TGO,
THA,98.1371688842773
TJK,
TKM,
TLS,83.5390319824219
TON,99.4411163330078
TTO,
TUN,
TUR,
TUV,
TZA,
UGA,89.3963088989258
UKR,
URY,98.8802719116211
USA,
UZB,99.9999389648438
VCT,
VEN,
VGB,
VIR,
VNM,
VUT,96.2821197509766
WSM,99.1234817504883
XKX,
YEM,
ZAF,
ZMB,92.0915679931641
ZWE,
