economy,SE.PRM.NENR
ABW,
AFG,
AGO,
ALB,94.52966
AND,
ARE,
ARG,
ARM,90.72273
ASM,
ATG,95.69547
AUS,
AUT,
AZE,92.42467
BDI,92.8047
BEL,
BEN,97.21103
BFA,78.64517
BGD,
BGR,
BHR,96.71489
BHS,74.22717
BIH,
BLR,94.92861
BLZ,95.94237
BMU,
BOL,92.85137
BRA,
BRB,96.69287
BRN,93.14673
BTN,88.02597
BWA,
CAF,
CAN,
CHE,
CHI,
CHL,
CHN,
CIV,90.32837
CMR,
COD,
COG,
COL,92.91999
COM,80.75383
CPV,93.42191
CRI,97.33255
CUB,97.73994
CUW,
CYM,
CYP,
CZE,
DEU,
DJI,61.80335
DMA,
DNK,
DOM,92.71356
DZA,97.63517
ECU,90.94167
EGY,97.03257
ERI,51.45515
ESP,
EST,
ETH,
FIN,
FJI,
FRA,
FRO,
FSM,
GAB,
GBR,
GEO,96.43624
GHA,84.48045
GIB,
GIN,
GMB,76.81635
GNB,
GNQ,
GRC,
GRD,95.86628
GRL,
GTM,86.88631
GUM,
GUY,
HKG,95.45476
HND,
HRV,
HTI,
HUN,
IDN,93.4963
IMN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,81.0188
JOR,80.8644
JPN,
KAZ,87.58681
KEN,
KGZ,89.85774
KHM,90.26554
KIR,
KNA,
KOR,
KWT,82.63321
LAO,91.46712
LBN,
LBR,
LBY,
LCA,95.39814
LIE,
LKA,99.10711
LSO,
LTU,
LUX,
LVA,
MAC,96.39553
MAF,
MAR,99.09904
MCO,
MDA,86.31417
MDG,95.60378
MDV,
MEX,
MHL,
MKD,
MLI,58.94142
MLT,
MMR,97.93192
MNE,96.54847
MNG,97.69756
MNP,
MOZ,93.92934
MRT,79.5744
MUS,94.80512
MWI,
MYS,
NAM,97.48892
NCL,
NER,
NGA,
NIC,
NLD,
NOR,
NPL,
NRU,
NZL,
OMN,86.25355
PAK,67.5748
PAN,
PER,95.65167
PHL,
PLW,
PNG,
POL,
PRI,
PRK,
PRT,
PRY,
PSE,94.84281
PYF,
QAT,94.09431
ROU,
RUS,
RWA,94.78978
SAU,94.5456
SDN,
SEN,
SGP,
SLB,67.47257
SLE,
SLV,80.99537
SMR,
SOM,
SRB,94.55098
SSD,
STP,
SUR,86.02531
SVK,
SVN,
SWE,
SWZ,
SXM,
SYC,92.21011
SYR,
TCA,
TCD,
TGO,90.73097
THA,
TJK,
TKM,
TLS,92.30953
TON,
TTO,
TUN,
TUR,
TUV,
TZA,81.32921
UGA,
UKR,
URY,
USA,
UZB,94.59704
VCT,
VEN,
VGB,
VIR,
VNM,
VUT,
WSM,94.41308
XKX,
YEM,
ZAF,
ZMB,
ZWE,
