economy,SE.SEC.CUAT.UP.ZS
ABW,
AFG,
AGO,
ALB,
AND,
ARE,69.1401596069336
ARG,
ARM,
ASM,
ATG,
AUS,78.3257598876953
AUT,
AZE,
BDI,
BEL,
BEN,
BFA,6.15245008468628
BGD,30.5447692871094
BGR,
BHR,64.9282302856445
BHS,
BIH,63.5065383911133
BLR,
BLZ,
BMU,
BOL,
BRA,47.4328689575195
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,
CHE,85.681770324707
CHI,
CHL,
CHN,
CIV,
CMR,
COD,
COG,
COL,49.7744789123535
COM,
CPV,
CRI,39.6567306518555
CUB,
CUW,
CYM,
CYP,72.9813537597656
CZE,
DEU,83.4613037109375
DJI,
DMA,
DNK,79.2777328491211
DOM,
DZA,
ECU,
EGY,
ERI,
ESP,50.4169883728027
EST,87.6303024291992
ETH,
FIN,
FJI,
FRA,
FRO,
FSM,
GAB,
GBR,
GEO,
GHA,
GIB,
GIN,7.38849020004272
GMB,
GNB,
GNQ,
GRC,
GRD,
GRL,42.7401695251465
GTM,
GUM,
GUY,
HKG,
HND,23.0666198730469
HRV,
HTI,
HUN,
IDN,34.6013603210449
IMN,
IND,
IRL,
IRN,
IRQ,
ISL,
ISR,
ITA,
JAM,
JOR,43.7317199707031
JPN,
KAZ,97.399787902832
KEN,
KGZ,
KHM,
KIR,
KNA,
KOR,
KWT,31.1964302062988
LAO,
LBN,
LBR,
LBY,
LCA,
LIE,
LKA,63.0344696044922
LSO,
LTU,
LUX,
LVA,90.3030319213867
MAC,
MAF,
MAR,
MCO,
MDA,75.2385177612305
MDG,9.7143497467041
MDV,
MEX,35.6546287536621
MHL,
MKD,
MLI,7.11877012252808
MLT,45.2157211303711
MMR,
MNE,
MNG,
MNP,
MOZ,
MRT,
MUS,
MWI,
MYS,
NAM,
NCL,
NER,
NGA,
NIC,
NLD,71.1049575805664
NOR,
NPL,
NRU,
NZL,
OMN,
PAK,8.95104026794434
PAN,
PER,58.0391807556152
PHL,
PLW,
PNG,
POL,
PRI,
PRK,
PRT,37.0835800170898
PRY,39.3815689086914
PSE,42.6016883850098
PYF,
QAT,
ROU,
RUS,
RWA,9.85904026031494
SAU,
SDN,
SEN,
SGP,73.5237884521484
SLB,
SLE,
SLV,
SMR,53.9379501342773
SOM,
SRB,
SSD,
STP,
SUR,
SVK,87.777717590332
SVN,
SWE,
SWZ,
SXM,
SYC,
SYR,
TCA,
TCD,
TGO,
THA,33.3059310913086
TJK,
TKM,
TLS,
TON,
TTO,
TUN,
TUR,
TUV,
TZA,
UGA,
UKR,
URY,30.4411907196045
USA,89.8053588867188
UZB,96.1492462158203
VCT,
VEN,
VGB,
VIR,
VNM,
VUT,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
